Game;ReleaseDate;Genre;  TotalEarnings  ;  OnlineEarnings  ;TotalPlayers;TotalTournaments
Age of Empires;1997;Strategy;191.181,81;156.839,89;261;99
Age of Empires II;1999;Strategy;2.296.502,80;720.999,87;1528;1140
Age of Empires III;2005;Strategy;93.913,65;41.800,00;139;120
Age of Empires IV;2021;Strategy;151.091,75;217;248;79
Age of Empires Online;2011;Strategy;5.356,56;775;25;17
Age of Mythology;2002;Strategy;100.701,00;52.000,00;129;122
Among Us;2018;Strategy;86.000,00;  -    ;14;8
Auto Chess;2019;Strategy;1.144.920,28;1.037.222,28;124;39
Brawl Stars;2018;Strategy;2.557.950,00;1.336.250,00;215;31
Chess.com;2007;Strategy;1.975.964,33;  -    ;782;286
chess24;2014;Strategy;2.705.625,43;  -    ;80;19
Clash of Clans;2012;Strategy;2.720.852,87;1.127.101,87;191;40
Clash Royale;2016;Strategy;3.363.348,27;3.149.638,98;290;51
Command & Conquer 3;2007;Strategy;53.086,67;53.086,67;9;8
Company of Heroes 2;2013;Strategy;8.561,22;7.956,22;11;6
ComPet;2016;Strategy;2.000,00;  -    ;50;1
Dead By Daylight;2016;Strategy;60.000,00;  -    ;35;9
Dota Underlords;2019;Strategy;26.024,18;  -    ;62;36
Farming Simulator 19;2018;Strategy;386.311,88;119.445,81;104;19
Grey Goo;2015;Strategy;36.400,00;30.400,00;18;5
Identity V;2018;Strategy;31.911,10;31.911,10;6;1
Internet Chess Club;1995;Strategy;10.000,00;  -    ;6;1
Lichess;2010;Strategy;1.264.077,78;  -    ;336;140
Multigaming;2000;Strategy;444.857,33;444.857,33;30;7
Playchess.com;2002;Strategy;32.866,58;  -    ;116;9
Pok<U+00E9>mon VGC;2017;Strategy;211.602,00;211.500,00;173;25
Prophecy;2020;Strategy;13.000,00;  -    ;27;4
Rise of Nations: Rise of Legends;2006;Strategy;69.600,00;69.600,00;8;1
Sea of Thieves;2016;Strategy;100.000,00;  -    ;67;4
Star Wars: Squadrons;2020;Strategy;800;  -    ;4;1
StarCraft II;2010;Strategy;36.249.504,04;29.428.638,63;2115;6283
StarCraft: Brood War;1998;Strategy;8.627.165,61;8.176.519,32;686;690
Super Mario Party;2018;Strategy;220;220;4;1
Supreme Commander;2007;Strategy;4.901,26;4.901,26;0;1
Supreme Commander: Forged Alliance;2007;Strategy;1.290,01;1.290,01;0;1
Teamfight Tactics;2019;Strategy;1.069.313,65;235.250,00;181;16
TEPPEN;2019;Strategy;456.721,47;456.721,47;12;1
The Binding of Isaac;2011;Strategy;15.000,00;  -    ;16;1
UNO;2016;Strategy;30.000,00;  -    ;28;3
WarCraft III;2002;Strategy;5.811.479,73;5.038.870,86;558;1335
WarCraft III: Reforged;2020;Strategy;1.053.536,12;425.883,84;103;192
Warhammer 40.000: Dawn of War;2005;Strategy;79.816,50;79.816,50;7;3
