Date;Game;  Earnings  ;Players;Tournaments
1/1/1998;QuakeWorld;15.000,00;8;1
1/5/1998;Quake II;14.600,00;4;1
1/7/1998;Quake II;15.000,00;5;1
1/7/1998;QuakeWorld;6.500,00;4;1
1/11/1998;Quake II;36.600,00;13;2
1/11/1998;QuakeWorld;22.000,00;0;1
1/11/1998;StarCraft: Brood War;20.000,00;8;1
1/12/1998;Age of Empires;2.000,00;1;1
1/3/1999;Quake II;15.000,00;5;1
1/4/1999;StarCraft: Brood War;3.000,00;2;1
1/5/1999;Quake II;27.400,00;8;1
1/5/1999;StarCraft: Brood War;27.400,00;8;1
1/8/1999;Descent 3;50.000,00;1;1
1/8/1999;StarCraft: Brood War;49.498,86;9;2
1/9/1999;Quake III Arena;16.400,00;6;1
1/9/1999;StarCraft: Brood War;34.666,16;15;3
1/10/1999;Quake III Arena;26.800,00;12;1
1/12/1999;StarCraft: Brood War;24.988,82;16;4
1/1/2000;Age of Empires II;35.335,86;2;1
1/1/2000;StarCraft: Brood War;23.820,16;15;3
1/2/2000;Age of Empires II;450;5;1
1/2/2000;Quake III Arena;4.000,00;3;1
1/4/2000;Age of Empires;9.500,00;4;1
1/4/2000;Age of Empires II;5.015,00;1;1
1/4/2000;Quake III Arena;110.927,63;43;8
1/5/2000;Age of Empires II;225;0;2
1/5/2000;Quake III Arena;12.300,00;5;2
1/5/2000;StarCraft: Brood War;17.977,49;16;1
1/6/2000;Age of Empires II;1.006,80;5;2
1/6/2000;Quake III Arena;6.970,00;9;2
1/6/2000;StarCraft: Brood War;4.494,37;1;1
1/7/2000;Quake III Arena;23.170,00;6;2
1/8/2000;Age of Empires II;9.192,00;9;3
1/8/2000;Quake III Arena;5.750,00;3;1
1/8/2000;StarCraft: Brood War;12.853,90;4;1
1/9/2000;Age of Empires II;12.378,11;11;3
1/9/2000;Quake III Arena;52.059,98;11;5
1/9/2000;StarCraft: Brood War;6.292,12;1;2
1/10/2000;Age of Empires II;50.000,00;4;1
1/10/2000;FIFA 2000;50.000,00;4;1
1/10/2000;Quake III Arena;75.000,00;5;3
1/10/2000;StarCraft: Brood War;50.000,00;4;1
1/11/2000;StarCraft: Brood War;17.600,00;16;1
1/12/2000;Age of Empires II;165,53;5;2
1/12/2000;Counter-Strike;23.763,33;62;2
1/12/2000;Quake III Arena;125.060,21;75;4
1/1/2001;Age of Empires II;1.200,00;6;2
1/1/2001;Counter-Strike;4.720,77;35;1
1/1/2001;Quake III Arena;19.055,71;12;3
1/1/2001;StarCraft: Brood War;5.257,00;7;2
1/2/2001;Quake III Arena;3.750,00;8;1
1/3/2001;Age of Empires II;1.641,29;12;5
1/4/2001;Age of Empires II;200;1;1
1/4/2001;Counter-Strike;43.711,29;41;2
1/4/2001;Quake III Arena;2.272,23;8;3
1/5/2001;Age of Empires II;500;1;1
1/5/2001;Counter-Strike;13.131,00;41;1
1/5/2001;Quake III Arena;15.841,68;16;2
1/5/2001;StarCraft: Brood War;12.234,91;16;2
1/6/2001;Age of Empires II;500;4;1
1/7/2001;Counter-Strike;1.800,00;16;2
1/7/2001;QuakeWorld;15.000,00;8;1
1/8/2001;Age of Empires II;500;1;1
1/8/2001;Counter-Strike;13.197,36;41;1
1/8/2001;Quake III Arena;58.197,36;3;2
1/9/2001;Counter-Strike;22.792,51;41;1
1/9/2001;StarCraft: Brood War;7.806,40;16;1
1/10/2001;Counter-Strike;22.000,00;15;2
1/10/2001;StarCraft: Brood War;13.057,60;4;1
1/11/2001;Age of Empires II;95.000,00;16;1
1/11/2001;Counter-Strike;5.239,51;5;1
1/11/2001;Quake III Arena;2.619,76;8;1
1/12/2001;Age of Empires II;61.000,00;20;5
1/12/2001;Aliens versus Predator 2;40.000,00;1;1
1/12/2001;Counter-Strike;220.000,00;109;2
1/12/2001;FIFA 2001;46.000,00;9;2
1/12/2001;Quake III Arena;46.000,00;8;2
1/12/2001;StarCraft: Brood War;53.538,08;24;3
1/12/2001;Unreal Tournament;46.000,00;9;2
1/1/2002;Age of Empires II;1.000,00;1;1
1/1/2002;Dota 2;300.000,00;40;1
1/2/2002;Age of Empires II;1.000,00;1;1
1/2/2002;Counter-Strike;26.000,00;15;1
1/3/2002;Age of Empires II;1.000,00;1;1
1/3/2002;Counter-Strike;1.035,00;17;1
1/4/2002;Age of Empires II;5.500,00;4;2
1/4/2002;StarCraft: Brood War;20.338,40;6;2
1/5/2002;Age of Empires II;2.000,00;4;2
1/5/2002;Counter-Strike;18.411,62;42;1
1/5/2002;Quake III Arena;9.666,10;0;1
1/5/2002;StarCraft: Brood War;4.913,16;1;1
1/6/2002;Age of Empires II;1.000,00;1;1
1/6/2002;StarCraft: Brood War;28.808,28;19;2
1/6/2002;Super Smash Bros. Melee;40;3;1
1/7/2002;Age of Empires II;16.450,00;9;4
1/7/2002;Counter-Strike;112.100,15;169;3
1/7/2002;Quake III Arena;9.540,30;12;1
1/7/2002;StarCraft: Brood War;2.000,00;3;1
1/8/2002;Age of Empires II;8.850,00;14;8
1/8/2002;Quake III Arena;40.000,00;5;1
1/8/2002;Return to Castle Wolfenstein;53.000,00;30;1
1/9/2002;Age of Empires;100;3;1
1/9/2002;Age of Empires II;5.116,00;5;3
1/9/2002;Counter-Strike;5.856,64;6;1
